Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,350.000000,352.000000,347.200012,348.649994,348.088013,265779
2021-11-08,349.500000,350.950012,343.549988,348.750000,348.187866,1043298
2021-11-09,349.399994,352.399994,345.799988,347.000000,346.440674,1079524
2021-11-10,347.000000,351.149994,346.200012,347.899994,347.339203,1175287
2021-11-11,347.799988,348.649994,342.500000,346.600006,346.041321,873619
2021-11-12,347.500000,349.299988,344.000000,346.450012,345.891571,704956
2021-11-15,347.500000,362.399994,347.100006,361.750000,361.166901,7501814
2021-11-16,361.799988,370.500000,360.299988,369.350006,368.754669,6775061
2021-11-17,371.399994,377.600006,367.600006,376.399994,375.793274,6964611
2021-11-18,377.399994,377.399994,364.000000,366.950012,366.358521,3134730
2021-11-22,366.450012,366.899994,356.149994,357.850006,357.273193,2115434
2021-11-23,356.450012,372.000000,351.399994,365.799988,365.210358,3195124
2021-11-24,366.549988,368.549988,358.700012,359.799988,359.220032,1154465
2021-11-25,360.149994,365.000000,356.299988,362.500000,361.915680,1290274
2021-11-26,362.000000,373.600006,358.899994,362.799988,362.215179,3526533
2021-11-29,362.500000,371.950012,347.600006,364.399994,363.812622,2513989
2021-11-30,364.500000,370.950012,357.549988,360.399994,359.819061,4131254
2021-12-01,362.200012,373.899994,358.100006,370.700012,370.102478,3496010
2021-12-02,374.899994,378.600006,363.000000,367.500000,366.907623,5011584
2021-12-03,370.950012,370.950012,365.350006,366.850006,366.258698,2610184
2021-12-06,367.000000,369.500000,358.500000,359.750000,359.170135,1309429
2021-12-07,361.600006,364.799988,357.549988,360.200012,359.619415,1585988
2021-12-08,361.000000,387.899994,360.600006,382.799988,382.182953,7931372
2021-12-09,383.000000,386.000000,372.000000,372.950012,372.348846,4191269
2021-12-10,372.950012,378.000000,370.399994,372.200012,371.600067,1732117
2021-12-13,374.000000,380.500000,370.700012,378.500000,377.889893,2794613
2021-12-14,376.500000,383.399994,374.200012,378.149994,377.540466,2419263
2021-12-15,379.299988,381.149994,373.500000,375.399994,374.794891,1909185
2021-12-16,376.200012,377.549988,361.649994,363.149994,362.564636,2537038
2021-12-17,365.399994,367.250000,349.399994,353.250000,352.680603,2108444
2021-12-20,351.000000,354.049988,343.049988,350.799988,350.234528,1946996
2021-12-21,352.000000,357.649994,349.149994,350.750000,350.184631,1339312
2021-12-22,353.000000,365.899994,349.850006,360.100006,359.519562,3069556
2021-12-23,360.799988,376.250000,360.049988,374.350006,373.746582,6612121
2021-12-24,363.000000,366.000000,352.500000,354.450012,353.878693,7151655
2021-12-27,355.000000,357.850006,351.500000,356.450012,355.875458,2537639
2021-12-28,359.000000,360.399994,355.049988,355.950012,355.376251,2072197
2021-12-29,355.000000,362.350006,353.799988,361.649994,361.067047,1961291
2021-12-30,360.500000,367.549988,359.000000,361.399994,360.817444,3285675
2021-12-31,363.950012,367.000000,361.600006,364.649994,364.062225,1788993
2022-01-03,364.649994,367.500000,362.149994,362.750000,362.165283,868445
2022-01-04,365.000000,369.600006,358.549988,364.399994,363.812622,3115452
2022-01-05,366.000000,367.899994,361.750000,363.350006,362.764313,1049204
2022-01-06,361.000000,364.399994,359.450012,360.350006,359.769165,967933
2022-01-07,360.000000,362.649994,356.700012,358.500000,357.922150,1182457
2022-01-10,356.799988,359.250000,353.549988,358.149994,357.572693,1843562
2022-01-11,358.149994,362.700012,357.049988,358.649994,358.071899,1019918
2022-01-12,359.149994,366.000000,356.549988,364.850006,364.261902,1738270
2022-01-13,365.000000,374.200012,358.600006,370.250000,369.653198,2924164
2022-01-14,370.250000,374.350006,356.299988,357.700012,357.123444,4700387
2022-01-17,361.000000,361.000000,353.500000,357.100006,356.524414,1571893
2022-01-18,358.000000,359.500000,347.000000,348.700012,348.137939,1631061
2022-01-19,353.299988,369.500000,353.299988,367.350006,366.757874,8460578
2022-01-20,366.000000,367.899994,361.500000,364.200012,363.612976,1513144
2022-01-21,364.000000,382.500000,356.000000,377.100006,376.492157,9950400
2022-01-24,377.100006,379.850006,367.899994,372.799988,372.199066,4407054
2022-01-25,370.000000,377.299988,365.799988,374.299988,373.696655,3877973
2022-01-27,372.450012,374.149994,357.000000,359.399994,358.820679,2404382
2022-01-28,361.399994,369.399994,358.299988,364.100006,363.513123,2352469
2022-01-31,365.750000,377.399994,363.549988,367.100006,366.508270,2706629
2022-02-01,369.100006,376.899994,366.149994,376.149994,375.543671,1563744
2022-02-02,379.000000,389.899994,378.149994,387.250000,386.625793,4529790
2022-02-03,388.000000,394.350006,384.700012,392.700012,392.067017,4692928
2022-02-04,393.799988,395.700012,389.649994,391.649994,391.018707,2637508
2022-02-07,390.500000,404.500000,390.250000,399.299988,398.656372,6057343
2022-02-08,403.899994,410.700012,399.700012,404.600006,403.947845,7761396
2022-02-09,404.600006,409.200012,401.500000,407.250000,406.593567,2428075
2022-02-10,406.100006,408.000000,401.250000,403.700012,403.049286,1556043
2022-02-11,400.000000,404.600006,394.700012,402.899994,402.250549,2008633
2022-02-14,395.000000,402.750000,392.000000,393.549988,392.915619,1638123
2022-02-15,393.549988,404.850006,392.600006,403.899994,403.248962,1702145
2022-02-16,404.000000,406.850006,400.250000,401.850006,401.202271,1075794
2022-02-17,403.000000,405.750000,393.299988,395.700012,395.062195,1131202
2022-02-18,394.950012,397.200012,387.649994,392.700012,392.067017,1428851
2022-02-21,390.399994,392.200012,385.000000,387.500000,386.875397,1125934
2022-02-22,380.950012,385.500000,377.250000,384.299988,383.680542,1727260
2022-02-23,384.100006,397.149994,383.450012,395.450012,394.812592,2297257
